p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.960192, 151, 18988, 126, 1250.0, 2363, 0.4726, 4501, 495, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.538198, 177, 18972, 137, 625.0, 1331, 0.2662, 4469, 523, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.644887, 151, 18981, 132, 454.545454545, 1226, 0.2452, 4419, 570, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.950495, 183, 19001, 129, 500.0, 940, 0.188, 4441, 549, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 59.657955, 153, 18952, 126, 500.0, 1271, 0.2542, 4412, 578, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.905522, 140, 18980, 132, 500.0, 1000, 0.2, 4503, 487, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 59.698572, 155, 18956, 130, 714.285714286, 1590, 0.318, 4429, 564, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 61.133613, 189, 19029, 129, 1000.0, 1960, 0.392, 4451, 544, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 61.122095, 177, 18986, 134, 833.333333333, 2650, 0.53, 4442, 552, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.752422, 142, 18952, 133, 833.333333333, 1498, 0.2996, 4538, 456, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.751966, 165, 19001, 128, 1000.0, 2567, 0.5134, 4456, 539, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.400126, 191, 18967, 128, 625.0, 1203, 0.2406, 4453, 539, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.227645, 162, 18952, 134, 625.0, 1317, 0.2634, 4496, 496, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.503124, 149, 18984, 124, 555.555555556, 948, 0.1896, 4451, 540, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 59.689858, 179, 18944, 132, 625.0, 1909, 0.3818, 4429, 563, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.820685, 157, 18992, 136, 714.285714286, 1857, 0.3714, 4478, 515, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 61.06724, 154, 18969, 130, 555.555555556, 1633, 0.3266, 4484, 507, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5000, 60.335956, 143, 18956, 129, 714.285714286, 1343, 0.2686, 4474, 519, 0.15
