pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 970.948244, 144, 19042, 128, 625.0, 1221, 0.2442, 4114, 878, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 969.812818, 148, 19028, 127, 416.666666667, 1261, 0.2522, 3918, 1070, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 953.428588, 134, 18978, 123, 625.0, 1203, 0.2406, 4063, 929, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 952.277024, 155, 18970, 124, 555.555555556, 1226, 0.2452, 4187, 804, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 972.253203, 178, 19040, 126, 1250.0, 1864, 0.3728, 4189, 807, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 971.322316, 159, 19028, 128, 625.0, 1533, 0.3066, 4295, 697, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 967.232974, 151, 19008, 121, 454.545454545, 700, 0.14, 4153, 836, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 954.399921, 190, 18978, 132, 833.333333333, 1642, 0.3284, 3996, 998, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 954.138007, 184, 18986, 129, 1250.0, 2349, 0.4698, 3862, 1134, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 944.28507, 175, 18963, 125, 833.333333333, 1364, 0.2728, 4171, 823, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 954.534885, 140, 18978, 125, 625.0, 1075, 0.215, 3969, 1023, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 952.489812, 172, 18983, 130, 625.0, 1683, 0.3366, 4063, 929, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 949.986116, 167, 18986, 123, 1666.66666667, 2335, 0.467, 4042, 955, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 955.567358, 143, 18981, 123, 833.333333333, 1876, 0.3752, 4038, 956, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 944.826182, 155, 18953, 121, 555.555555556, 1205, 0.241, 4057, 934, 0.5
0.00136557, 0.06851662, 0.1151, 0.339, 0.2, 0.5, 0.083333, 5000, 969.007457, 188, 19022, 126, 625.0, 1290, 0.258, 4030, 962, 0.5
