p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 74.004357, 149, 18998, 133, 833.333333333, 3140, 0.628, 4279, 715, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 73.425332, 174, 19008, 141, 1250.0, 1586, 0.3172, 4389, 607, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 73.278667, 165, 18977, 133, 714.285714286, 1318, 0.2636, 4320, 673, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 73.586473, 198, 19003, 138, 1250.0, 2509, 0.5018, 4231, 765, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 72.891924, 184, 18974, 131, 500.0, 1604, 0.3208, 4328, 662, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 73.589571, 160, 18998, 128, 714.285714286, 1641, 0.3282, 4220, 773, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 73.848152, 153, 19016, 137, 2500.0, 3904, 0.7808, 4305, 693, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 72.975157, 171, 18964, 136, 714.285714286, 2363, 0.4726, 4401, 592, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 74.580338, 170, 19021, 128, 625.0, 1027, 0.2054, 4316, 676, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5000, 72.551389, 182, 18960, 135, 1000.0, 1456, 0.2912, 4342, 653, 0.15
