p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 75.779061, 178, 19049, 140, 1000.0, 2020, 0.404, 4215, 780, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.809435, 162, 19037, 138, 833.333333333, 1928, 0.3856, 4277, 717, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.953631, 153, 18978, 135, 1250.0, 2570, 0.514, 4237, 759, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.885672, 151, 18958, 138, 1250.0, 1771, 0.3542, 4170, 826, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.210188, 149, 19027, 131, 625.0, 1627, 0.3254, 4158, 834, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.630514, 169, 19006, 131, 714.285714286, 1310, 0.262, 4319, 674, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.816057, 140, 19002, 127, 625.0, 1170, 0.234, 4215, 777, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 74.076941, 129, 19028, 126, 714.285714286, 1665, 0.333, 4247, 746, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.118404, 157, 18987, 138, 1666.66666667, 3810, 0.762, 4237, 760, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.934195, 159, 18959, 130, 833.333333333, 1542, 0.3084, 4222, 772, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.506655, 160, 18961, 130, 833.333333333, 2168, 0.4336, 4299, 695, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.626937, 156, 18968, 131, 1000.0, 2682, 0.5364, 4299, 696, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.42062, 141, 18952, 128, 454.545454545, 1304, 0.2608, 4357, 632, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 72.099182, 166, 18938, 133, 833.333333333, 2173, 0.4346, 4198, 796, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 75.240931, 158, 18960, 135, 833.333333333, 1843, 0.3686, 4285, 709, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.906276, 174, 19007, 127, 555.555555556, 1184, 0.2368, 4184, 807, 0.15
0.002, 0.00136557, 0.06851662, 0.3151, 0.489, 0.2, 0.5, 0.083333, 5000, 73.130322, 190, 18976, 128, 625.0, 1161, 0.2322, 4209, 783, 0.15
