pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 946.08628, 181, 18977, 126, 833.333333333, 1389, 0.2778, 4033, 961, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 941.581071, 144, 18929, 120, 625.0, 2408, 0.4816, 3911, 1081, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 954.5095, 181, 18983, 133, 625.0, 1380, 0.276, 4004, 988, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 941.780656, 147, 18945, 124, 1000.0, 2209, 0.4418, 4094, 901, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 958.872935, 140, 18992, 121, 1000.0, 1549, 0.3098, 4024, 971, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 970.363293, 137, 19046, 129, 714.285714286, 1930, 0.386, 4124, 869, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 955.755495, 156, 18978, 122, 833.333333333, 1498, 0.2996, 3959, 1035, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 952.528241, 167, 18977, 129, 625.0, 1941, 0.3882, 3996, 996, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 955.462462, 148, 18987, 125, 625.0, 1978, 0.3956, 3918, 1074, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 966.982981, 134, 19038, 124, 714.285714286, 2986, 0.5972, 3836, 1157, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 946.065141, 134, 18975, 122, 1000.0, 1609, 0.3218, 4138, 857, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 958.376932, 131, 18992, 118, 833.333333333, 1406, 0.2812, 4138, 856, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 948.574271, 152, 18951, 127, 833.333333333, 1660, 0.332, 4011, 983, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 959.124167, 153, 18997, 131, 1250.0, 2574, 0.5148, 3823, 1173, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 950.351097, 137, 18984, 127, 1666.66666667, 3232, 0.6464, 4164, 833, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 970.63528, 143, 19025, 118, 454.545454545, 1223, 0.2446, 4027, 962, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 967.489899, 178, 19024, 125, 1250.0, 2645, 0.529, 3842, 1154, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 956.832985, 151, 18983, 125, 1000.0, 2461, 0.4922, 4016, 979, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 945.876099, 148, 18964, 125, 625.0, 1255, 0.251, 3940, 1052, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 950.017275, 172, 18962, 126, 714.285714286, 1626, 0.3252, 3991, 1002, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 962.289523, 197, 19015, 129, 625.0, 1333, 0.2666, 4104, 888, 0.5
0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 944.616034, 174, 18951, 127, 625.0, 1722, 0.3444, 3917, 1075, 0.5
