p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.14201, 339, 19076, 306, 1252.5, 2328, 0.464670658683, 4804, 202, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.902475, 266, 19021, 228, 835.0, 1449, 0.289221556886, 4814, 190, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.945353, 284, 19081, 242, 1252.5, 1619, 0.323153692615, 4813, 193, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.964127, 314, 19016, 258, 626.25, 1353, 0.27005988024, 4803, 199, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.750333, 216, 19020, 196, 455.454545455, 1213, 0.242115768463, 4787, 212, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.738371, 221, 19031, 198, 1002.0, 1470, 0.293413173653, 4828, 177, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.097093, 311, 19073, 288, 1252.5, 1450, 0.289421157685, 4802, 204, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.063971, 331, 18967, 289, 455.454545455, 1493, 0.298003992016, 4783, 216, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.607215, 184, 19068, 162, 501.0, 936, 0.186826347305, 4792, 208, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.40472, 412, 19047, 384, 1252.5, 2471, 0.493213572854, 4826, 180, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.692298, 214, 19015, 187, 556.666666667, 1131, 0.225748502994, 4789, 212, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.780275, 226, 19008, 213, 626.25, 1294, 0.258283433134, 4843, 159, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.028023, 344, 19006, 264, 626.25, 1724, 0.344111776447, 4774, 228, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.482408, 417, 19053, 397, 1252.5, 2562, 0.511377245509, 4811, 195, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.110779, 330, 19048, 294, 1670.0, 1951, 0.389421157685, 4826, 181, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 1.844831, 250, 19047, 228, 1002.0, 2008, 0.400798403194, 4840, 165, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.095241, 312, 19018, 283, 1002.0, 1990, 0.397205588822, 4847, 158, 0.0
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 2.252655, 410, 19083, 340, 835.0, 2039, 0.406986027944, 4828, 176, 0.0
