pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.22004, 181, 18998, 141, 1666.66666667, 1796, 0.3592, 3279, 1718, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.160444, 191, 18946, 138, 625.0, 1573, 0.3146, 3145, 1847, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.234279, 161, 18993, 133, 625.0, 1654, 0.3308, 3142, 1850, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.07688, 166, 19015, 145, 1250.0, 2597, 0.5194, 3192, 1804, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.039013, 176, 18936, 134, 625.0, 1943, 0.3886, 3160, 1832, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.595434, 189, 18965, 137, 714.285714286, 1150, 0.23, 3249, 1744, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.693605, 180, 18978, 137, 1666.66666667, 2637, 0.5274, 3207, 1790, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.600897, 175, 18998, 141, 1666.66666667, 3379, 0.6758, 3294, 1703, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.400913, 157, 18975, 140, 833.333333333, 2162, 0.4324, 3183, 1811, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.36987, 150, 19003, 131, 714.285714286, 1902, 0.3804, 3135, 1858, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 131.485467, 159, 18952, 137, 833.333333333, 1632, 0.3264, 3238, 1756, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.609745, 160, 19002, 143, 625.0, 1378, 0.2756, 3117, 1875, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.829655, 162, 19027, 144, 833.333333333, 2941, 0.5882, 3095, 1899, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 132.215283, 164, 18968, 143, 555.555555556, 1988, 0.3976, 3109, 1882, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 134.705708, 148, 19011, 128, 625.0, 1342, 0.2684, 3200, 1792, 0.25
