pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 978.264035, 172, 18989, 130, 1250.0, 3155, 0.631, 3691, 1305, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 1015.05199, 166, 19053, 124, 1000.0, 2040, 0.408, 3494, 1501, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 1002.921257, 147, 18979, 131, 1000.0, 1814, 0.3628, 3773, 1222, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 995.35764, 153, 18989, 121, 555.555555556, 2901, 0.5802, 3776, 1215, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 1003.335836, 152, 18999, 130, 625.0, 1422, 0.2844, 3912, 1080, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 990.789156, 125, 18989, 120, 833.333333333, 3576, 0.7152, 3743, 1251, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 966.636256, 141, 18970, 127, 1250.0, 3194, 0.6388, 3849, 1147, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 960.168295, 148, 18957, 128, 1000.0, 1844, 0.3688, 3710, 1285, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 963.636541, 168, 18966, 132, 1000.0, 2292, 0.4584, 3513, 1482, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 973.363682, 151, 19000, 126, 1000.0, 2714, 0.5428, 3568, 1427, 0.5
0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 979.008543, 135, 19007, 121, 833.333333333, 3122, 0.6244, 3516, 1478, 0.5
