pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.365154, 168, 19012, 141, 1000.0, 1549, 0.3098, 3482, 1513, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.656429, 189, 19001, 135, 555.555555556, 2175, 0.435, 3381, 1610, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.746578, 188, 19020, 140, 555.555555556, 1167, 0.2334, 3292, 1699, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 160.572389, 143, 18971, 137, 500.0, 1057, 0.2114, 3371, 1619, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.351654, 167, 18998, 144, 714.285714286, 2273, 0.4546, 3408, 1585, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.115369, 158, 19014, 147, 555.555555556, 1389, 0.2778, 3421, 1570, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.928887, 181, 18999, 140, 555.555555556, 2086, 0.4172, 3312, 1679, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.517685, 175, 19001, 143, 1000.0, 2340, 0.468, 3534, 1461, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 164.498242, 190, 19001, 142, 500.0, 1169, 0.2338, 3485, 1505, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.644275, 191, 18989, 135, 1666.66666667, 2235, 0.447, 3376, 1621, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 157.975669, 153, 18929, 134, 625.0, 1643, 0.3286, 3530, 1462, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.405319, 206, 18991, 141, 500.0, 1073, 0.2146, 3418, 1572, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 160.80119, 161, 18954, 139, 833.333333333, 2098, 0.4196, 3403, 1591, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.05443, 157, 19013, 135, 555.555555556, 994, 0.1988, 3367, 1624, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.710606, 171, 18978, 141, 625.0, 1320, 0.264, 3473, 1519, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 154.755683, 183, 18962, 141, 625.0, 1309, 0.2618, 3406, 1586, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.425104, 179, 18988, 145, 1666.66666667, 3685, 0.737, 3409, 1588, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.818082, 165, 19001, 141, 1666.66666667, 3672, 0.7344, 3389, 1608, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 165.288535, 185, 19040, 140, 1000.0, 1545, 0.309, 3329, 1666, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 164.37062, 157, 18986, 143, 1250.0, 1470, 0.294, 3432, 1564, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 160.767934, 175, 18982, 143, 833.333333333, 1358, 0.2716, 3474, 1520, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 160.776037, 196, 18957, 139, 625.0, 1677, 0.3354, 3438, 1554, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 163.766683, 154, 19024, 135, 625.0, 1285, 0.257, 3507, 1485, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 164.514001, 154, 19036, 141, 2500.0, 4633, 0.9266, 3326, 1672, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 158.670175, 160, 18988, 136, 454.545454545, 1641, 0.3282, 3413, 1576, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 162.475934, 186, 19010, 141, 714.285714286, 1891, 0.3782, 3526, 1467, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 161.968764, 186, 19001, 142, 1000.0, 2163, 0.4326, 3496, 1499, 0.25
