pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 252.374642, 317, 18951, 135, 555.555555556, 1217, 0.2434, 2971, 2020, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.519648, 163, 19010, 136, 555.555555556, 1092, 0.2184, 2901, 2090, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.968353, 154, 18992, 137, 1000.0, 2507, 0.5014, 2811, 2184, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 249.064376, 187, 18922, 130, 625.0, 1216, 0.2432, 2921, 2071, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 249.097838, 167, 19001, 129, 625.0, 2080, 0.416, 2760, 2232, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.454331, 170, 18976, 138, 625.0, 1609, 0.3218, 2893, 2099, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.444178, 158, 19022, 134, 833.333333333, 3413, 0.6826, 3015, 1979, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 249.459204, 162, 19018, 133, 454.545454545, 1170, 0.234, 2896, 2093, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.478859, 173, 18973, 134, 1000.0, 2681, 0.5362, 2851, 2144, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.862655, 180, 18998, 139, 357.142857143, 1818, 0.3636, 2842, 2144, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 252.101842, 163, 19017, 140, 1000.0, 2144, 0.4288, 2854, 2141, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.093705, 143, 18973, 135, 833.333333333, 2500, 0.5, 2816, 2178, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.152866, 164, 18999, 134, 555.555555556, 2006, 0.4012, 2919, 2072, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 257.715109, 171, 18983, 131, 1000.0, 1973, 0.3946, 2968, 2027, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 244.41317, 174, 18966, 134, 1000.0, 1997, 0.3994, 2968, 2027, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.655515, 175, 18941, 137, 714.285714286, 1746, 0.3492, 3047, 1946, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 250.37702, 156, 19013, 137, 625.0, 1349, 0.2698, 2869, 2123, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.250422, 177, 19015, 134, 714.285714286, 1718, 0.3436, 3066, 1927, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.008851, 172, 18969, 140, 833.333333333, 1618, 0.3236, 2859, 2135, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.882904, 163, 18985, 142, 833.333333333, 1855, 0.371, 2923, 2071, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.308047, 158, 19002, 136, 625.0, 1416, 0.2832, 2944, 2048, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 245.67793, 159, 18954, 130, 1000.0, 3826, 0.7652, 2869, 2126, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.144464, 176, 19007, 135, 416.666666667, 1779, 0.3558, 2828, 2160, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 242.93628, 188, 18901, 139, 1000.0, 3065, 0.613, 2926, 2069, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 245.998513, 202, 18973, 141, 1666.66666667, 3407, 0.6814, 2914, 2083, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 253.393512, 156, 18987, 137, 1000.0, 2007, 0.4014, 3010, 1985, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.527752, 157, 18933, 132, 384.615384615, 1181, 0.2362, 2939, 2048, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.851522, 185, 18973, 137, 1250.0, 1874, 0.3748, 3022, 1974, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.700742, 216, 19002, 131, 555.555555556, 1067, 0.2134, 2972, 2019, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.57445, 170, 18979, 144, 1666.66666667, 1950, 0.39, 2997, 2000, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 250.128403, 150, 18997, 135, 1000.0, 2381, 0.4762, 2833, 2162, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 253.397873, 173, 19024, 145, 833.333333333, 2536, 0.5072, 2855, 2139, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.419454, 149, 19023, 135, 500.0, 2073, 0.4146, 2949, 2041, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 253.396905, 170, 19052, 143, 625.0, 1731, 0.3462, 2896, 2096, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 244.851182, 182, 18959, 140, 1000.0, 1989, 0.3978, 2971, 2024, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.390321, 153, 19005, 135, 714.285714286, 1876, 0.3752, 2891, 2102, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.882569, 169, 18972, 141, 1000.0, 1819, 0.3638, 2766, 2229, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.837739, 149, 18970, 134, 1000.0, 1262, 0.2524, 2975, 2020, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.243716, 164, 18988, 140, 833.333333333, 1762, 0.3524, 2952, 2042, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.086716, 175, 18981, 136, 833.333333333, 2061, 0.4122, 2950, 2044, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.354978, 159, 18963, 132, 555.555555556, 1704, 0.3408, 2907, 2084, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 245.42886, 156, 18965, 132, 714.285714286, 1704, 0.3408, 2901, 2092, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.178003, 149, 19008, 131, 555.555555556, 1310, 0.262, 3020, 1971, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.134954, 165, 18966, 141, 625.0, 1843, 0.3686, 2816, 2176, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 246.802184, 145, 18962, 142, 714.285714286, 1381, 0.2762, 2874, 2119, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 251.555812, 179, 19002, 135, 625.0, 1585, 0.317, 2939, 2053, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 257.023327, 209, 18995, 144, 1666.66666667, 2848, 0.5696, 2965, 2032, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 248.759006, 145, 18992, 140, 1250.0, 3426, 0.6852, 3037, 1959, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 247.765286, 151, 18948, 133, 1250.0, 3185, 0.637, 2936, 2060, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.389, 0.2, 0.5, 0.083333, 5000, 245.303359, 157, 18949, 141, 833.333333333, 1435, 0.287, 2824, 2170, 0.35
