pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.093435, 174, 18967, 133, 500.0, 1607, 0.3214, 2919, 2071, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.337917, 193, 18954, 129, 833.333333333, 1312, 0.2624, 2929, 2065, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.369561, 213, 18958, 134, 714.285714286, 2071, 0.4142, 3017, 1976, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.67082, 151, 18937, 130, 454.545454545, 1030, 0.206, 2980, 2009, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.002363, 147, 18954, 134, 1000.0, 2008, 0.4016, 2846, 2149, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.115492, 207, 18997, 135, 1250.0, 2010, 0.402, 2869, 2127, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.636834, 151, 19043, 136, 1000.0, 1601, 0.3202, 2859, 2136, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.344851, 184, 19004, 138, 833.333333333, 1553, 0.3106, 2848, 2146, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.540893, 166, 19005, 144, 833.333333333, 1507, 0.3014, 2823, 2171, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.917902, 148, 18954, 143, 625.0, 1103, 0.2206, 2818, 2174, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.711642, 168, 19017, 140, 1000.0, 3559, 0.7118, 2749, 2246, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.697631, 183, 19016, 142, 500.0, 1329, 0.2658, 2926, 2064, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.765787, 163, 18982, 132, 1666.66666667, 2027, 0.4054, 2762, 2235, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.075411, 137, 18991, 128, 500.0, 1766, 0.3532, 2844, 2146, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.694704, 178, 19000, 135, 714.285714286, 1308, 0.2616, 2858, 2135, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.360178, 156, 18980, 134, 500.0, 1292, 0.2584, 2848, 2142, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.262214, 174, 19001, 133, 555.555555556, 1430, 0.286, 2930, 2061, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.650325, 163, 18964, 139, 2500.0, 4382, 0.8764, 2813, 2185, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.199472, 147, 18999, 139, 2500.0, 4690, 0.938, 2844, 2154, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 137.006764, 160, 18988, 140, 1250.0, 2395, 0.479, 2890, 2106, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.478583, 160, 18976, 135, 625.0, 1918, 0.3836, 2866, 2126, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.267184, 152, 19019, 131, 416.666666667, 888, 0.1776, 2879, 2109, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.607391, 166, 18996, 141, 714.285714286, 2443, 0.4886, 2814, 2179, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.757925, 158, 18996, 135, 500.0, 2295, 0.459, 2865, 2125, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 131.790451, 171, 18961, 137, 833.333333333, 2114, 0.4228, 2831, 2163, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.021148, 188, 18923, 138, 416.666666667, 2344, 0.4688, 2941, 2047, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 135.880436, 148, 19033, 131, 333.333333333, 826, 0.1652, 2979, 2006, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.05081, 163, 18990, 128, 555.555555556, 1564, 0.3128, 2815, 2176, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.845573, 205, 18989, 150, 5000.0, 5000, 1.0, 2900, 2099, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.109154, 214, 19006, 145, 833.333333333, 1762, 0.3524, 2694, 2300, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.900984, 170, 18946, 138, 454.545454545, 1239, 0.2478, 2864, 2125, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.309992, 178, 18944, 136, 714.285714286, 1819, 0.3638, 2917, 2076, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.542861, 163, 18996, 136, 555.555555556, 2609, 0.5218, 2905, 2086, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.450554, 172, 18963, 135, 416.666666667, 1527, 0.3054, 2763, 2225, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.461394, 161, 19041, 134, 833.333333333, 1997, 0.3994, 2838, 2156, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.454924, 171, 19018, 136, 1666.66666667, 3454, 0.6908, 2772, 2225, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.372409, 173, 19015, 140, 714.285714286, 1506, 0.3012, 2799, 2194, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 133.839756, 165, 19018, 137, 555.555555556, 1697, 0.3394, 2784, 2207, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 136.27396, 200, 18988, 136, 714.285714286, 1910, 0.382, 2787, 2206, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.665258, 170, 18998, 134, 833.333333333, 3346, 0.6692, 2889, 2105, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 130.144236, 149, 18928, 134, 714.285714286, 1414, 0.2828, 2859, 2134, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 132.031233, 195, 18980, 132, 1000.0, 3282, 0.6564, 2886, 2109, 0.25
0.002, 0.00136557, 0.06851662, 0.1151, 0.589, 0.2, 0.5, 0.083333, 5000, 134.134844, 182, 19022, 135, 1000.0, 2263, 0.4526, 2763, 2232, 0.25
