pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 202.156044, 213, 18948, 148, 1000.0, 2150, 0.43, 3203, 1792, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 206.517861, 163, 19033, 132, 714.285714286, 1635, 0.327, 3169, 1824, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.314744, 152, 18991, 135, 1250.0, 3311, 0.6622, 3169, 1827, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 204.144267, 182, 18976, 134, 555.555555556, 1639, 0.3278, 3139, 1852, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 208.244605, 158, 19066, 133, 714.285714286, 2014, 0.4028, 3131, 1862, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.091228, 171, 19003, 142, 1000.0, 1792, 0.3584, 3188, 1807, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 206.919625, 158, 19022, 140, 1666.66666667, 4209, 0.8418, 3133, 1864, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.599409, 171, 18999, 134, 833.333333333, 2239, 0.4478, 3182, 1812, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 204.286465, 197, 18998, 135, 625.0, 1951, 0.3902, 3197, 1795, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 200.396964, 172, 18964, 139, 833.333333333, 2676, 0.5352, 3134, 1860, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 204.109102, 152, 18987, 139, 1666.66666667, 2770, 0.554, 3162, 1835, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.587478, 188, 18984, 138, 833.333333333, 1831, 0.3662, 3215, 1779, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 200.544662, 159, 18943, 130, 500.0, 1293, 0.2586, 3305, 1685, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 201.51868, 167, 18939, 134, 500.0, 1341, 0.2682, 3191, 1799, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 204.370644, 192, 19013, 152, 5000.0, 5000, 1.0, 3129, 1870, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.439932, 169, 18999, 133, 625.0, 1849, 0.3698, 3116, 1876, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 202.064931, 173, 18938, 136, 625.0, 2091, 0.4182, 3230, 1762, 0.35
0.002, 0.00136557, 0.06851662, 0.1151, 0.289, 0.2, 0.5, 0.083333, 5000, 203.151249, 150, 18981, 137, 833.333333333, 1569, 0.3138, 3170, 1824, 0.35
