timesteps, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 107, 108, 109, 110, 111, 112, 114, 115, 116, 118, 119, 120, 121, 124, 125, 126, 129, 130, 131, 132, 133, 134, 135, 139, 144, 159, 175
events, 51, 55, 42, 49, 61, 111, 181, 193, 243, 325, 293, 339, 372, 461, 512, 578, 548, 631, 657, 666, 635, 549, 481, 481, 470, 485, 468, 436, 388, 417, 365, 348, 381, 364, 326, 304, 285, 296, 265, 249, 275, 259, 228, 246, 217, 197, 180, 205, 182, 156, 163, 108, 128, 89, 100, 130, 96, 98, 105, 71, 113, 71, 82, 63, 59, 67, 49, 51, 39, 33, 41, 47, 51, 36, 32, 43, 43, 42, 39, 34, 34, 23, 35, 21, 23, 24, 17, 20, 19, 10, 16, 21, 10, 13, 10, 10, 9, 15, 8, 15, 7, 9, 5, 2, 3, 8, 3, 1, 2, 1, 10, 2, 3, 3, 4, 3, 3, 3, 1, 3, 3, 2, 2, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1
sus, 4956, 4910, 4882, 4845, 4799, 4715, 4577, 4425, 4249, 4001, 3812, 3578, 3332, 3048, 2720, 2375, 2062, 1710, 1373, 1047, 790, 593, 463, 357, 264, 195, 131, 98, 77, 53, 41, 32, 19, 10, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
exp, 43, 83, 97, 124, 159, 221, 329, 449, 571, 769, 877, 1035, 1193, 1354, 1556, 1733, 1875, 2045, 2172, 2278, 2318, 2310, 2257, 2166, 2059, 1937, 1836, 1709, 1594, 1474, 1374, 1270, 1176, 1070, 993, 923, 838, 767, 697, 649, 589, 536, 495, 453, 418, 380, 345, 303, 283, 258, 233, 221, 207, 195, 182, 162, 150, 135, 125, 120, 112, 104, 95, 89, 79, 71, 70, 66, 59, 54, 51, 47, 42, 41, 40, 34, 31, 27, 26, 26, 22, 19, 17, 17, 14, 12, 12, 12, 11, 9, 8, 7, 7, 5, 5, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0
inf, 9, 14, 28, 37, 46, 64, 87, 114, 161, 194, 260, 320, 389, 477, 566, 698, 835, 961, 1107, 1256, 1377, 1495, 1586, 1675, 1773, 1844, 1870, 1904, 1910, 1910, 1888, 1893, 1859, 1834, 1789, 1733, 1708, 1664, 1625, 1562, 1499, 1446, 1378, 1310, 1243, 1201, 1153, 1110, 1039, 991, 947, 910, 859, 829, 795, 759, 727, 700, 656, 622, 573, 547, 514, 495, 478, 453, 427, 407, 398, 384, 360, 342, 322, 305, 285, 272, 256, 234, 216, 198, 185, 178, 161, 152, 145, 136, 126, 113, 108, 104, 98, 88, 82, 80, 74, 71, 67, 61, 56, 50, 45, 42, 40, 39, 36, 32, 30, 29, 28, 27, 22, 22, 20, 18, 15, 13, 13, 12, 12, 10, 8, 8, 6, 6, 6, 5, 4, 3, 2, 1, 2, 1, 0
dead, 2, 1, 1, 1, 1, 4, 5, 5, 6, 9, 14, 17, 13, 20, 28, 28, 26, 33, 33, 45, 61, 73, 73, 87, 98, 93, 111, 96, 106, 122, 131, 106, 99, 112, 99, 100, 106, 95, 94, 96, 110, 85, 83, 80, 82, 68, 76, 65, 66, 68, 56, 48, 52, 51, 48, 42, 41, 38, 42, 43, 34, 35, 38, 24, 25, 20, 23, 16, 10, 13, 24, 20, 20, 15, 21, 20, 14, 21, 17, 15, 17, 15, 19, 15, 13, 10, 10, 11, 5, 8, 6, 7, 9, 5, 7, 5, 7, 4, 5, 2, 5, 2, 0, 0, 2, 1, 1, 1, 1, 2, 2, 0, 1, 1, 1, 2, 2, 1, 0, 1, 2, 0, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0
rec, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5, 7, 7, 11, 20, 28, 35, 41, 49, 67, 77, 92, 107, 123, 147, 163, 183, 204, 228, 247, 270, 288, 303, 331, 358, 386, 411, 437, 453, 477, 496, 513, 544, 577, 596, 616, 631, 644, 662, 681, 694, 706, 716, 728, 736, 746, 754, 759, 763, 772, 783, 801, 805, 813, 820, 824, 836, 839, 847, 853, 860, 865, 870, 874, 880, 885, 887, 891, 898, 902, 906, 908, 910, 911, 912, 914, 917, 920, 925, 925, 926, 927, 928, 928, 929, 929, 930, 930, 930, 931, 934, 934, 934, 935, 935, 936, 937, 938, 939, 939, 939, 939, 939, 939, 940, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 942, 943, 944
rem, 0, 2, 2, 3, 5, 6, 12, 16, 22, 32, 40, 53, 72, 91, 112, 141, 171, 212, 258, 307, 372, 432, 508, 578, 653, 758, 858, 975, 1076, 1181, 1288, 1406, 1526, 1626, 1738, 1840, 1921, 2031, 2117, 2207, 2299, 2399, 2477, 2571, 2651, 2730, 2792, 2870, 2941, 2999, 3068, 3115, 3164, 3199, 3239, 3293, 3333, 3374, 3415, 3442, 3490, 3519, 3550, 3582, 3604, 3630, 3651, 3674, 3690, 3699, 3710, 3731, 3752, 3769, 3779, 3797, 3818, 3830, 3849, 3865, 3878, 3888, 3902, 3914, 3924, 3935, 3942, 3949, 3961, 3963, 3971, 3980, 3984, 3991, 3995, 4000, 4003, 4012, 4015, 4022, 4024, 4030, 4033, 4034, 4034, 4038, 4039, 4039, 4040, 4040, 4045, 4047, 4048, 4049, 4050, 4051, 4052, 4054, 4055, 4056, 4057, 4059, 4059, 4060, 4061, 4061, 4062, 4063, 4065, 4066, 4066, 4066, 4066
timesteps, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 127, 129, 130, 131, 132, 133, 134, 135, 136, 142, 144, 145, 148, 149, 151, 153, 154, 159, 161, 166
events, 16, 11, 19, 27, 38, 40, 22, 60, 93, 149, 167, 197, 187, 191, 265, 294, 355, 329, 365, 325, 455, 405, 425, 355, 391, 331, 377, 376, 410, 401, 388, 440, 436, 410, 387, 357, 367, 331, 330, 376, 344, 302, 323, 299, 321, 307, 319, 302, 291, 277, 275, 243, 252, 211, 212, 202, 178, 191, 164, 182, 132, 138, 143, 132, 148, 141, 123, 123, 97, 106, 106, 87, 100, 90, 56, 57, 66, 59, 62, 63, 52, 57, 50, 53, 47, 40, 33, 31, 32, 31, 31, 26, 45, 21, 25, 14, 16, 16, 21, 27, 21, 12, 13, 15, 9, 11, 8, 10, 8, 9, 3, 5, 10, 4, 6, 4, 14, 10, 4, 5, 4, 3, 11, 7, 1, 1, 3, 1, 3, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1
sus, 4988, 4977, 4961, 4938, 4912, 4883, 4871, 4831, 4760, 4645, 4527, 4387, 4252, 4124, 3950, 3762, 3538, 3328, 3130, 2957, 2747, 2555, 2381, 2246, 2098, 1969, 1836, 1729, 1580, 1459, 1338, 1223, 1113, 1004, 903, 817, 752, 685, 641, 591, 535, 494, 447, 415, 364, 330, 274, 236, 205, 160, 128, 109, 87, 65, 53, 37, 24, 15, 9, 8, 7, 3, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
exp, 16, 27, 40, 60, 76, 97, 100, 123, 175, 267, 349, 447, 543, 624, 731, 839, 976, 1108, 1189, 1249, 1317, 1387, 1421, 1424, 1454, 1454, 1466, 1436, 1449, 1431, 1427, 1406, 1369, 1338, 1320, 1295, 1236, 1193, 1130, 1066, 1036, 990, 952, 901, 857, 810, 806, 774, 730, 711, 672, 632, 590, 561, 530, 498, 470, 438, 408, 379, 355, 331, 308, 284, 267, 245, 227, 206, 195, 182, 169, 150, 138, 127, 118, 110, 99, 94, 84, 77, 66, 63, 58, 50, 47, 45, 43, 40, 33, 30, 29, 24, 20, 19, 18, 17, 15, 14, 14, 12, 11, 10, 9, 8, 7, 7, 7, 7, 6, 4, 4, 4, 4, 4, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0
inf, 6, 6, 9, 11, 20, 26, 35, 49, 66, 83, 113, 146, 177, 215, 266, 331, 394, 446, 534, 623, 702, 770, 846, 934, 982, 1066, 1119, 1179, 1253, 1309, 1349, 1375, 1419, 1479, 1507, 1524, 1536, 1559, 1571, 1577, 1545, 1538, 1516, 1505, 1491, 1464, 1420, 1382, 1359, 1332, 1305, 1276, 1243, 1217, 1166, 1144, 1123, 1081, 1046, 991, 964, 936, 893, 854, 805, 764, 723, 688, 646, 619, 583, 567, 530, 505, 488, 467, 455, 426, 409, 386, 373, 342, 326, 308, 285, 267, 258, 246, 238, 225, 210, 205, 187, 176, 165, 157, 152, 144, 133, 123, 109, 106, 100, 93, 89, 83, 78, 74, 71, 69, 68, 65, 57, 56, 50, 49, 40, 35, 33, 30, 28, 26, 19, 18, 18, 17, 15, 14, 13, 12, 12, 10, 10, 10, 9, 8, 7, 6, 5, 6, 5, 4, 3, 2, 1, 0
dead, 0, 0, 0, 1, 1, 2, 1, 3, 4, 3, 1, 4, 7, 4, 9, 10, 11, 17, 16, 21, 32, 41, 48, 40, 41, 48, 47, 57, 46, 48, 64, 70, 80, 66, 63, 73, 93, 95, 93, 75, 90, 82, 82, 67, 88, 93, 84, 86, 77, 70, 73, 66, 73, 73, 82, 72, 56, 65, 66, 61, 51, 44, 43, 47, 43, 45, 43, 40, 59, 43, 40, 32, 36, 24, 22, 28, 16, 21, 18, 17, 18, 27, 21, 20, 24, 22, 11, 10, 13, 16, 15, 10, 6, 9, 6, 10, 8, 8, 6, 5, 7, 3, 4, 5, 6, 6, 7, 3, 4, 3, 2, 0, 5, 2, 5, 3, 2, 3, 4, 5, 4, 4, 6, 1, 0, 1, 2, 2, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
rec, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 4, 4, 9, 12, 15, 18, 23, 32, 36, 48, 56, 66, 74, 88, 98, 112, 124, 134, 157, 169, 194, 211, 224, 242, 260, 286, 304, 317, 339, 358, 380, 403, 422, 444, 463, 477, 497, 517, 538, 559, 577, 598, 614, 636, 648, 664, 680, 699, 723, 731, 744, 761, 775, 784, 793, 808, 821, 822, 825, 833, 843, 849, 854, 861, 864, 867, 876, 881, 886, 892, 897, 900, 908, 912, 916, 918, 921, 923, 924, 927, 931, 938, 939, 942, 943, 945, 948, 951, 951, 959, 960, 961, 962, 963, 964, 965, 967, 967, 969, 969, 972, 973, 974, 977, 977, 982, 984, 986, 986, 987, 988, 989, 989, 989, 989, 989, 990, 991, 991, 991, 991, 991, 991, 991, 991, 991, 991, 991, 991, 991, 992, 992, 992, 992, 993
rem, 0, 0, 0, 0, 1, 2, 3, 3, 4, 9, 16, 22, 27, 34, 42, 53, 73, 88, 109, 124, 164, 201, 248, 292, 347, 375, 430, 485, 548, 606, 663, 742, 818, 899, 975, 1041, 1107, 1174, 1258, 1362, 1446, 1526, 1610, 1700, 1766, 1850, 1949, 2035, 2122, 2199, 2273, 2350, 2419, 2480, 2543, 2611, 2673, 2731, 2782, 2848, 2902, 2952, 3003, 3048, 3110, 3163, 3209, 3255, 3288, 3341, 3385, 3418, 3457, 3500, 3521, 3541, 3573, 3593, 3618, 3644, 3661, 3681, 3705, 3724, 3742, 3760, 3780, 3793, 3803, 3815, 3829, 3840, 3859, 3867, 3879, 3883, 3890, 3896, 3906, 3919, 3924, 3931, 3936, 3942, 3945, 3950, 3953, 3959, 3962, 3965, 3967, 3969, 3971, 3974, 3974, 3977, 3982, 3985, 3985, 3987, 3989, 3990, 3994, 4000, 4001, 4001, 4002, 4002, 4004, 4004, 4005, 4006, 4006, 4008, 4009, 4010, 4011, 4012, 4012, 4013, 4014, 4014, 4015, 4016, 4017, 4017
