pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events,mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 842.29982, 953, 18398, 692, 94.3396226415, 296, 0.0592, 4506, 441, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 839.567997, 1210, 18392, 683, 86.2068965517, 310, 0.062, 4608, 334, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 832.913597, 952, 18384, 717, 96.1538461538, 195, 0.039, 4740, 208, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 837.945496, 991, 18386, 704, 102.040816327, 282, 0.0564, 4718, 233, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 836.503284, 1540, 18364, 703, 89.2857142857, 207, 0.0414, 4640, 304, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 836.92489, 957, 18404, 702, 98.0392156863, 284, 0.0568, 4734, 215, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 833.490649, 1133, 18346, 698, 83.3333333333, 203, 0.0406, 4778, 162, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 841.916592, 1025, 18419, 702, 90.9090909091, 219, 0.0438, 4690, 255, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 845.989207, 1121, 18404, 713, 96.1538461538, 322, 0.0644, 4724, 224, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 845.582245, 1429, 18433, 701, 131.578947368, 297, 0.0594, 4800, 162, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 841.702863, 1688, 18400, 693, 104.166666667, 264, 0.0528, 4669, 283, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 830.599035, 1007, 18407, 684, 119.047619048, 316, 0.0632, 4708, 250, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 849.650065, 936, 18426, 690, 111.111111111, 383, 0.0766, 4542, 413, 0.5
0.01, 0.01038, 0.128, 0.25, 0.3, 0.1, 0.01, 5000, 848.135951, 1294, 18433, 679, 96.1538461538, 342, 0.0684, 4677, 271, 0.5
