pInfected, gamma, beta, delta, epsilon, zeta, eta, N, elapsed_time, timesteps, events, timesteps_with_events, mean_outbreak_size, max_outbreak_size, max_outbreak_proportion, exposed_from_infected, exposed_from_dead, rewire_degree
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 982.340035, 145, 18922, 120, 555.555555556, 2031, 0.4062, 3555, 1436, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1006.542638, 154, 18985, 122, 500.0, 1021, 0.2042, 3800, 1190, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1004.325311, 158, 19002, 121, 833.333333333, 1800, 0.36, 3731, 1263, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1007.881303, 155, 18995, 124, 555.555555556, 1359, 0.2718, 3847, 1144, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1013.678178, 184, 19024, 128, 2500.0, 3791, 0.7582, 3592, 1406, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 989.782854, 149, 18952, 121, 1250.0, 1865, 0.373, 3859, 1137, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 994.428174, 171, 18943, 131, 714.285714286, 1254, 0.2508, 3882, 1111, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1000.225509, 175, 18993, 128, 1000.0, 2760, 0.552, 3343, 1652, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 980.381887, 152, 18922, 120, 555.555555556, 2001, 0.4002, 3631, 1360, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1001.242105, 155, 18971, 117, 1000.0, 2626, 0.5252, 3855, 1140, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 999.513101, 144, 18967, 121, 1250.0, 3979, 0.7958, 3790, 1206, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1001.030184, 139, 18989, 117, 416.666666667, 1379, 0.2758, 3725, 1263, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1006.70173, 151, 18993, 127, 1666.66666667, 3177, 0.6354, 3780, 1217, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1002.46225, 148, 18987, 122, 555.555555556, 2115, 0.423, 3816, 1175, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1008.178483, 142, 19001, 122, 1250.0, 2879, 0.5758, 3671, 1325, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1006.247563, 141, 18983, 120, 500.0, 968, 0.1936, 4183, 807, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 991.317859, 133, 18958, 119, 833.333333333, 2594, 0.5188, 3754, 1240, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1006.255486, 129, 19014, 122, 833.333333333, 2565, 0.513, 3923, 1071, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 995.13376, 169, 18972, 124, 454.545454545, 778, 0.1556, 3897, 1092, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 1013.205767, 150, 19035, 125, 1666.66666667, 2246, 0.4492, 3652, 1345, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 994.829669, 172, 18994, 124, 833.333333333, 2054, 0.4108, 3741, 1253, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 977.083505, 141, 18899, 127, 714.285714286, 2174, 0.4348, 3681, 1312, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 981.326733, 189, 18978, 120, 833.333333333, 1574, 0.3148, 3864, 1130, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 982.5198, 151, 18990, 129, 1250.0, 3127, 0.6254, 3630, 1366, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 978.481779, 136, 18966, 122, 714.285714286, 1399, 0.2798, 3772, 1221, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 993.321141, 154, 18994, 129, 625.0, 1106, 0.2212, 3746, 1246, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 978.991502, 149, 18947, 126, 555.555555556, 1490, 0.298, 3659, 1332, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 983.886795, 146, 18971, 125, 357.142857143, 989, 0.1978, 3915, 1071, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 979.572083, 162, 18956, 115, 714.285714286, 1597, 0.3194, 3673, 1320, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 983.539853, 186, 18982, 123, 714.285714286, 1245, 0.249, 3779, 1214, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 977.372651, 203, 18962, 132, 625.0, 1101, 0.2202, 3719, 1273, 0.5
0.00136557, 0.06851662, 0.1151, 0.539, 0.2, 0.5, 0.083333, 5000, 992.054288, 141, 18994, 123, 1000.0, 2141, 0.4282, 3734, 1261, 0.5
