p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.078048, 155, 14990, 126, 1000.0, 1406, 0.2812
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.04547, 144, 14975, 128, 454.545454545, 1566, 0.3132
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.011945, 145, 14979, 128, 500.0, 1428, 0.2856
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.013866, 182, 14976, 128, 454.545454545, 1513, 0.3026
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.040449, 147, 14981, 127, 555.555555556, 1109, 0.2218
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 0.989738, 141, 14975, 120, 416.666666667, 946, 0.1892
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.036599, 196, 14980, 132, 555.555555556, 1149, 0.2298
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.002612, 160, 14978, 124, 454.545454545, 769, 0.1538
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.074892, 193, 14981, 132, 555.555555556, 1374, 0.2748
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.031452, 157, 14990, 127, 1000.0, 2027, 0.4054
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.106889, 194, 14992, 128, 1250.0, 2193, 0.4386
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.044396, 152, 14988, 131, 833.333333333, 1689, 0.3378
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.029123, 154, 14989, 129, 1000.0, 2042, 0.4084
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.045231, 148, 14987, 130, 833.333333333, 1933, 0.3866
0.002, 0.00136557, 0.06851662, 0.3151, 0.083333, 5000, 1.022908, 163, 14975, 127, 416.666666667, 1330, 0.266
