p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 175.476135, 153, 19020, 140, 501.0, 1951, 0.389421157685, 3669, 1331, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 167.825464, 151, 19025, 146, 835.0, 3115, 0.621756487026, 3822, 1182, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 169.665419, 256, 19031, 149, 715.714285714, 1578, 0.31497005988, 3643, 1360, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 169.739976, 156, 19008, 140, 626.25, 1708, 0.340918163673, 3748, 1254, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 171.038659, 172, 18958, 145, 417.5, 1094, 0.218363273453, 3742, 1256, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 173.500349, 153, 19020, 139, 1002.0, 1893, 0.377844311377, 3687, 1318, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 172.78079, 167, 19027, 143, 556.666666667, 2744, 0.547704590818, 3654, 1347, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 165.383346, 199, 19010, 149, 1670.0, 4300, 0.858283433134, 3696, 1311, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 163.351267, 177, 19016, 149, 715.714285714, 2009, 0.400998003992, 3712, 1291, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 169.828786, 161, 19030, 143, 1002.0, 1596, 0.318562874251, 3742, 1263, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 170.69364, 181, 18974, 142, 1002.0, 2275, 0.454091816367, 3691, 1314, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 165.674656, 183, 19022, 151, 2505.0, 3062, 0.611177644711, 3709, 1299, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 170.650703, 166, 19033, 144, 715.714285714, 1356, 0.270658682635, 3654, 1349, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 166.678811, 162, 18983, 143, 835.0, 2390, 0.477045908184, 3744, 1260, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 172.007507, 166, 19014, 132, 455.454545455, 1334, 0.26626746507, 3663, 1336, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 169.757723, 218, 19040, 148, 1252.5, 2006, 0.400399201597, 3679, 1327, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 167.05713, 184, 18976, 140, 835.0, 1635, 0.326347305389, 3655, 1349, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 168.812037, 175, 18992, 140, 626.25, 1224, 0.244311377246, 3626, 1376, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 172.493987, 198, 19083, 148, 1252.5, 2720, 0.542914171657, 3651, 1355, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 169.008639, 147, 19005, 139, 835.0, 1855, 0.370259481038, 3698, 1306, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 172.59398, 193, 19110, 155, 835.0, 2546, 0.508183632735, 3827, 1177, 0.25
0.002, 0.00136557, 0.06851662, 0.2151, 0.389, 0.2, 0.5, 0.083333, 5010, 174.057656, 166, 19026, 137, 455.454545455, 2428, 0.484630738523, 3700, 1299, 0.25
