p_edge_creation,pInfected,gamma,beta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.635403, 350, 14892, 317, 104.375, 1457, 0.290818363273
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.895742, 445, 14980, 384, 278.333333333, 1904, 0.38003992016
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.46422, 651, 14982, 601, 294.705882353, 1908, 0.380838323353
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 2.42805, 616, 14932, 580, 143.142857143, 2096, 0.418363273453
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.575142, 335, 14976, 272, 250.5, 1225, 0.244510978044
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 3.00522, 709, 14982, 655, 294.705882353, 3330, 0.664670658683
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.91025, 367, 14926, 311, 131.842105263, 1405, 0.280439121756
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.770354, 297, 14968, 249, 208.75, 913, 0.182235528942
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.388049, 266, 15006, 213, 417.5, 662, 0.132135728543
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.712162, 307, 14888, 292, 100.2, 1254, 0.250299401198
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.740158, 312, 15012, 263, 556.666666667, 1050, 0.209580838323
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.883557, 375, 14802, 324, 63.417721519, 1292, 0.257884231537
0.002, 0.00136557, 0.06851662, 0.1151, 0.083333, 5010, 1.781545, 352, 14922, 284, 122.195121951, 1159, 0.231337325349
