p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 330.96555, 151, 18978, 135, 1002.0, 1827, 0.364670658683, 3722, 1283, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 344.261366, 184, 19023, 134, 715.714285714, 2100, 0.419161676647, 3687, 1316, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 319.243404, 177, 19037, 147, 2505.0, 2597, 0.518363273453, 3948, 1060, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 333.296717, 159, 18980, 130, 556.666666667, 1366, 0.272654690619, 3786, 1215, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 340.223087, 153, 19050, 138, 835.0, 1428, 0.28502994012, 3791, 1213, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 336.479015, 172, 19027, 140, 715.714285714, 2893, 0.57744510978, 3860, 1143, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 338.985432, 162, 19015, 140, 1252.5, 2926, 0.584031936128, 3748, 1258, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 352.763647, 160, 19041, 133, 626.25, 1894, 0.378043912176, 3796, 1206, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 338.415697, 162, 19051, 141, 1002.0, 1685, 0.336327345309, 3865, 1140, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 331.857143, 167, 18977, 148, 835.0, 2252, 0.449500998004, 3832, 1172, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 339.897613, 166, 19047, 147, 626.25, 2221, 0.443313373253, 3880, 1122, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 345.801764, 201, 19101, 140, 1002.0, 1925, 0.384231536926, 3724, 1281, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 340.576538, 181, 19042, 139, 715.714285714, 1945, 0.388223552894, 3814, 1189, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 345.771533, 153, 19047, 132, 501.0, 982, 0.196007984032, 3780, 1220, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 341.65117, 173, 19001, 131, 835.0, 2635, 0.525948103792, 3743, 1261, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 334.719035, 175, 18986, 134, 835.0, 2085, 0.416167664671, 3898, 1106, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 332.494776, 166, 19006, 148, 1670.0, 2929, 0.584630738523, 3845, 1162, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 334.72936, 179, 19008, 142, 715.714285714, 1599, 0.319161676647, 3826, 1177, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 327.802917, 176, 19047, 149, 1670.0, 3149, 0.628542914172, 3736, 1271, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 336.279392, 180, 19021, 137, 556.666666667, 2579, 0.514770459082, 3885, 1116, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 341.801126, 166, 19012, 127, 835.0, 1792, 0.357684630739, 3805, 1199, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 338.425034, 147, 19091, 142, 835.0, 2072, 0.413572854291, 3792, 1212, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 338.16824, 203, 18987, 137, 501.0, 1300, 0.259481037924, 3712, 1288, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 327.410386, 173, 19033, 146, 2505.0, 2996, 0.598003992016, 3862, 1146, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 343.241134, 161, 19022, 135, 1252.5, 2520, 0.502994011976, 3803, 1203, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 348.572168, 147, 19053, 135, 1002.0, 2858, 0.570459081836, 3781, 1224, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 349.335259, 157, 19066, 136, 556.666666667, 2123, 0.42375249501, 3755, 1246, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 345.73841, 171, 19056, 131, 556.666666667, 1444, 0.288223552894, 3629, 1372, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 341.347381, 176, 19027, 145, 1670.0, 3031, 0.60499001996, 3778, 1229, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 341.540938, 153, 19021, 138, 417.5, 1149, 0.229341317365, 3803, 1195, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 334.532063, 182, 18989, 137, 357.857142857, 1283, 0.256087824351, 3845, 1151, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 342.925195, 167, 19044, 136, 1002.0, 2323, 0.463672654691, 3820, 1185, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 329.938092, 187, 19049, 163, 5010.0, 5010, 1.0, 3898, 1111, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 328.279128, 195, 19020, 148, 1252.5, 1928, 0.384830339321, 3937, 1069, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 332.967305, 187, 18998, 145, 835.0, 1115, 0.22255489022, 3773, 1231, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 336.41221, 166, 19024, 134, 1670.0, 2802, 0.559281437126, 3788, 1219, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 339.751398, 169, 18997, 134, 501.0, 1561, 0.311576846307, 3781, 1219, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 336.550034, 153, 19005, 134, 501.0, 1459, 0.29121756487, 3876, 1124, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 333.602268, 161, 19026, 142, 556.666666667, 1767, 0.352694610778, 3931, 1070, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 329.849702, 173, 19008, 142, 501.0, 2468, 0.492614770459, 3885, 1115, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 348.410629, 158, 19071, 134, 626.25, 2550, 0.508982035928, 3738, 1264, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 330.764546, 152, 19027, 141, 715.714285714, 1922, 0.383632734531, 3831, 1172, 0.35
0.002, 0.00136557, 0.06851662, 0.3151, 0.389, 0.2, 0.5, 0.083333, 5010, 335.924331, 166, 19041, 143, 1002.0, 1497, 0.29880239521, 3776, 1229, 0.35
