p_edge_creation,p_infected,gamma,beta,delta,epsilon,zeta,eta,N,elapsed_time,timesteps,events,timesteps_with_events,mean_outbreak_size,max_outbreak_size,max_outbreak_proportion,exposed_from_infected,exposed_from_dead,rewire_degree
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.599476, 195, 19008, 154, 1002.0, 2245, 0.448103792415, 4144, 861, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.33346, 170, 19033, 149, 715.714285714, 1738, 0.346906187625, 4053, 950, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 174.456135, 190, 19026, 151, 1002.0, 1432, 0.285828343313, 4077, 928, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 171.823005, 155, 19024, 134, 1002.0, 1858, 0.370858283433, 3960, 1045, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.490321, 179, 18991, 140, 715.714285714, 1978, 0.394810379242, 4031, 972, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 167.84496, 189, 19029, 145, 501.0, 1985, 0.39620758483, 3971, 1029, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.741335, 158, 19042, 149, 1252.5, 2045, 0.408183632735, 4084, 922, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 171.055806, 181, 19025, 142, 1252.5, 1556, 0.310578842315, 4014, 992, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 173.395754, 149, 19068, 134, 501.0, 2318, 0.462674650699, 3988, 1012, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 172.020729, 209, 19042, 144, 2505.0, 3928, 0.784031936128, 3972, 1036, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 173.52362, 179, 19024, 138, 501.0, 1606, 0.320558882236, 4052, 948, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.452088, 177, 19027, 142, 835.0, 1641, 0.32754491018, 4059, 945, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.015039, 177, 19019, 143, 626.25, 1590, 0.317365269461, 4057, 945, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 170.425025, 160, 19030, 140, 835.0, 2436, 0.48622754491, 4042, 962, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 171.551371, 163, 19081, 145, 1252.5, 2041, 0.407385229541, 4020, 986, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 173.346255, 201, 18993, 137, 417.5, 1520, 0.303393213573, 4020, 978, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 167.655982, 211, 19036, 141, 385.384615385, 1236, 0.246706586826, 4129, 868, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.011386, 182, 19037, 160, 1252.5, 3127, 0.624151696607, 4065, 941, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 165.415818, 208, 18986, 160, 1252.5, 2183, 0.435728542914, 4032, 974, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 172.228635, 158, 19030, 141, 501.0, 1077, 0.21497005988, 4037, 963, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 170.82252, 180, 19023, 145, 556.666666667, 1380, 0.275449101796, 4014, 987, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.600624, 158, 19038, 145, 835.0, 2966, 0.592015968064, 4115, 889, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 170.307708, 172, 19014, 146, 715.714285714, 1790, 0.357285429142, 4073, 930, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 167.477588, 172, 19016, 147, 501.0, 1411, 0.281636726547, 4173, 827, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 172.672861, 147, 19040, 132, 501.0, 1866, 0.37245508982, 4008, 992, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 166.759118, 173, 19009, 149, 1002.0, 2541, 0.507185628743, 4132, 873, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 174.149432, 170, 19035, 141, 1002.0, 3007, 0.600199600798, 4046, 959, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 166.591455, 212, 19011, 144, 626.25, 2114, 0.421956087824, 4199, 803, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.817638, 196, 18994, 143, 385.384615385, 1404, 0.280239520958, 4129, 868, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.303878, 183, 18957, 144, 715.714285714, 1409, 0.28123752495, 3984, 1019, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 161.763606, 248, 19021, 173, 1670.0, 4070, 0.812375249501, 4086, 921, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 165.992094, 197, 19036, 159, 835.0, 1837, 0.366666666667, 4057, 947, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 170.991271, 165, 19042, 142, 835.0, 1696, 0.338522954092, 4046, 958, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.068008, 163, 18995, 144, 1002.0, 2501, 0.499201596806, 4053, 952, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 171.424795, 174, 19012, 140, 835.0, 1783, 0.355888223553, 4023, 981, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 166.057614, 174, 19032, 149, 626.25, 1868, 0.372854291417, 4108, 894, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 167.794841, 169, 19020, 148, 417.5, 1698, 0.338922155689, 4132, 866, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.111481, 193, 18989, 134, 626.25, 1077, 0.21497005988, 4070, 932, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 174.300408, 196, 19053, 142, 385.384615385, 1286, 0.256686626747, 4063, 934, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 164.862454, 164, 18993, 145, 626.25, 1855, 0.370259481038, 4124, 878, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 172.190665, 194, 19057, 148, 1670.0, 2169, 0.432934131737, 4011, 996, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 168.907214, 193, 19015, 142, 626.25, 1563, 0.311976047904, 4116, 886, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.292161, 192, 19053, 148, 455.454545455, 2118, 0.422754491018, 4097, 902, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 162.798487, 193, 19040, 165, 835.0, 2035, 0.40618762475, 4135, 869, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 159.2117, 197, 18976, 162, 1670.0, 2076, 0.414371257485, 4218, 789, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 177.143876, 161, 19065, 135, 501.0, 1229, 0.245309381238, 4018, 982, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 171.216057, 165, 19022, 139, 835.0, 3159, 0.630538922156, 3989, 1015, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.57874, 152, 19022, 145, 1252.5, 2188, 0.436726546906, 4076, 930, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 165.489549, 208, 19069, 165, 1002.0, 3319, 0.6624750499, 4077, 928, 0.25
0.002, 0.00136557, 0.06851662, 0.3151, 0.289, 0.2, 0.5, 0.083333, 5010, 169.444882, 162, 19019, 139, 455.454545455, 1116, 0.222754491018, 4081, 918, 0.25
